pathway,pval,padj,log2err,ES,NES,size,cell_type
Phospholipid metabolism,0.04215298543455195,0.07025497572425325,0.06829528449193768,-0.23673069351193313,-1.227324718075245,349,L5 IT
SREBP regulation,0.0024642681123706258,0.0049285362247412515,0.2912696049203765,-0.4095959740930273,-1.6835135495455509,70,L5 IT
Sphingolipid metabolism,0.06947143412359114,0.08683929265448892,0.05299977677043518,-0.2689549343094147,-1.2568867997991864,149,L5 IT
Steroid metabolism,0.06452549095482248,0.08683929265448892,0.05494331394125393,-0.24483137483438097,-1.2206545881119524,245,L5 IT
Sterol biosynthesis,1.3356482605217252e-4,4.4521608684057506e-4,0.5188480777437918,-0.49193785437184623,-1.9403626301810009,56,L5 IT
Cholesterol biosynthesis,1.7301822124937053e-6,1.3748173801683838e-5,0.6435518361507222,-0.748241255414652,-2.3577864226467518,21,L5_6 NP
Cholesterol homeostasis,0.016855593888615083,0.02809265648102514,0.11001518923674092,-0.40152819715958993,-1.5437862826598647,47,L5_6 NP
Fatty acid metabolism,0.2903162443527794,0.3225736048364216,0.024498366700105564,-0.20800849755211787,-1.0600211611247605,258,L5_6 NP
Lipid transport,0.11470905701108822,0.14338632126386028,0.040953211363906054,-0.5573248631716283,-1.371989047877573,9,L5_6 NP
Mevalonate / isoprenoid,3.5388350143126496e-5,1.1796116714375499e-4,0.557332238758646,-0.5856517895072278,-2.08983409883043,34,L5_6 NP
Phospholipid metabolism,0.025899565045472518,0.03699937863638931,0.08862996367347115,-0.2502204270751096,-1.2860195920273214,280,L5_6 NP
SREBP regulation,0.009417129262490087,0.018834258524980173,0.1480567364697555,-0.37875484173763674,-1.5626272367466532,67,L5_6 NP
Sphingolipid metabolism,0.5942602170165298,0.5942602170165298,0.015847614330728635,0.20743391955707777,0.937943020807953,109,L5_6 NP
Steroid metabolism,0.0039494470774091624,0.009873617693522907,0.22931638850901312,-0.3074986548784997,-1.4963801800061962,179,L5_6 NP
Sterol biosynthesis,2.7496347603367674e-6,1.3748173801683838e-5,0.6272567397185284,-0.5664103935279384,-2.1777215201075024,47,L5_6 NP
Cholesterol biosynthesis,0.007286314806165343,0.04182611017175403,0.1635601892446221,-0.5831283549002069,-1.760925235102246,19,L6 CT
Cholesterol homeostasis,0.17212588310854207,0.2467600569331036,0.03171279938538055,-0.33360937707734295,-1.2185393375813487,41,L6 CT
Fatty acid metabolism,0.3708304969366916,0.4635381211708645,0.019328379141896772,-0.2095082986102329,-1.0317806454526683,243,L6 CT
Lipid transport,0.1727320398531725,0.2467600569331036,0.03405952613535759,0.5228744528534134,1.29077841384867,9,L6 CT
Mevalonate / isoprenoid,0.01238015451922182,0.04182611017175403,0.12491719149626392,-0.47848924541291515,-1.6449813109668612,32,L6 CT
Phospholipid metabolism,0.01639482091810997,0.04182611017175403,0.10294190811572063,-0.26439480512667163,-1.32226546088816,277,L6 CT
SREBP regulation,0.5106537310726267,0.5673930345251408,0.01629503658631257,-0.2433071059161001,-0.9675405730420918,61,L6 CT
Sphingolipid metabolism,0.01673044406870161,0.04182611017175403,0.1048644000871006,-0.3288206299062273,-1.4476399671844304,108,L6 CT
Steroid metabolism,0.7438182612494539,0.7438182612494539,0.01185080257271739,-0.1888902576422028,-0.8908193583269489,174,L6 CT
Sterol biosynthesis,0.024739821069928794,0.04947964213985759,0.0871231902134135,-0.4118351972914269,-1.5213669089051929,43,L6 CT
