cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
Sst_9,1.891550148338319,0.0228628873093656,2.1907227638420945,14.933658923462323,0.0019335961133308027,3.5344297410832843,GABAergic,Sst
VLMC_1,-1.4670398559355498,0.9999998526386172,6.399824009501466e-08,-13.120432130565574,0.9999999999187467,3.5287876066884703e-11,Non-neuronal,VLMC
Vip_1,3.948558267544368,0.0002139756734778,4.903266178193052,-2.099166964546437,0.9999999999187467,0.13957631251607994,GABAergic,Vip
Vip_11,1.8189225639822295,0.0441777389603728,1.8580486268897876,1.9166550400006448,0.5295920675515089,0.5325826036431872,GABAergic,Vip
Vip_12,1.3404305905898246,0.1214421092261432,1.3280753960420906,-2.613863293816723,0.9999999999187467,0.1138868227821328,GABAergic,Vip
Vip_13,3.3214071502347093,0.0026909715234336,3.476362543808253,-0.19416690218019,0.8842252885666042,0.28263801643660186,GABAergic,Vip
Vip_14,2.0930711687636823,0.0166012315686849,2.372512215269456,8.790578604810188,0.06841328744920136,1.6003041641694962,GABAergic,Vip
Vip_15,2.4556237312246867,0.0141957981214555,2.4530818354995536,11.37513668482548,0.011184821574724517,2.562906822783719,GABAergic,Vip
Vip_16,4.176982762125939,0.0026909715234336,3.4925376031396707,9.303266053914934,0.06688109687583761,1.6187414088313554,GABAergic,Vip
Vip_18,2.494992764349302,0.0099800794615952,2.6751885700948392,2.530944437611039,0.4667892027172683,0.5988327350215011,GABAergic,Vip
Vip_19,1.096008936531882,0.1161537607186637,1.3569145744263647,3.649365687269679,0.3757584491445623,0.7107735490932078,GABAergic,Vip
Vip_2,2.219568390276831,0.0083192088499661,2.801665191985177,3.0246196885586034,0.37464305100888945,0.7207051483032474,GABAergic,Vip
Vip_21,2.430425112158473,0.0126559480964929,2.5227654565613653,0.4772533307075227,0.8036894450313652,0.3458319328499472,GABAergic,Vip
Vip_23,1.2599898480024063,0.180030333309263,1.07519490763055,-2.143686024351103,0.9999999999187467,0.14119573880280803,GABAergic,Vip
Vip_4,1.201910189986926,0.1375834666303792,1.2418411708621182,-1.7567304242961421,0.9999999999187467,0.165770499921072,GABAergic,Vip
Vip_5,1.6237481890301604,0.0837549634122169,1.5416121559755098,6.139134294614562,0.11531152286720585,1.2958122575358035,GABAergic,Vip
Vip_6,0.3846444767669956,0.4830851147856506,0.5246867110072319,-0.3428129761000918,0.8964632459077487,0.2714042192521705,GABAergic,Vip
Vip_9,1.0552234587893965,0.2193653167064347,0.9760086681466504,7.064439141233927,0.0985629295396314,1.3858732033481969,GABAergic,Vip
