gene,spearman_rho,pval,pval_fdr,abs_rho
MIR924HG,-0.8029411764705883,0.0001805167946798431,0.040339901365592803,0.8029411764705883
AC004854.2,-0.8023633729480182,0.0001839516113531686,0.0408259182375118,0.8023633729480182
ADRB1,-0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
GOLGA6L7,-0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
AC109597.1,-0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
DGKI,0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
PHF11,-0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
KBTBD12,0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
AC009063.3,-0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
PROS1,0.7999999999999999,0.00019857097280000065,0.04178113786778195,0.7999999999999999
AC100839.1,-0.7976455433906275,0.00021408071485108055,0.042065665233071065,0.7976455433906275
ELAVL4,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
AL033504.1,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
IRF9,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
AC090579.1,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
AC245187.2,0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
LYSMD4,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
THUMPD3-AS1,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
AC053527.2,0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
ZNF439,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
MOSPD2,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
LINS1,0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
MEIS3,-0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
SMARCA2,0.7970588235294117,0.0002180980699057476,0.042065665233071065,0.7970588235294117
LINC00598,-0.7947022019021013,0.0002348695051128643,0.04212230232528981,0.7947022019021013
AL035425.1,-0.7941183072552878,0.00023918601011715937,0.04212230232528981,0.7941183072552878
ANKRD16,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
PTGR1,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
PKN1,-0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
FNDC3B,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
RARA,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
SAMD5,-0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
LINC02795,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
LINC01170,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
ECHDC1,0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
TMEM62,-0.7941176470588236,0.00023919092762563114,0.04212230232528981,0.7941176470588236
